id,Start,Start ID,Finish,Finish ID
1,AER,2965,KZN,2990
2,ASF,2966,KZN,2990
3,ASF,2966,MRV,2962
4,CEK,2968,KZN,2990
5,CEK,2968,OVB,4078
6,DME,4029,KZN,2990
7,DME,4029,NBC,6969
8,DME,4029,TGK,\N
9,DME,4029,UUA,6160
10,EGO,6156,KGD,2952
11,EGO,6156,KZN,2990
12,GYD,2922,NBC,6969
13,KGD,2952,EGO,6156
14,KZN,2990,AER,2965
15,KZN,2990,ASF,2966
16,KZN,2990,CEK,2968
17,KZN,2990,DME,4029
18,KZN,2990,EGO,6156
19,KZN,2990,LED,2948
20,KZN,2990,SVX,2975
21,LED,2948,KZN,2990
22,LED,2948,NBC,6969
23,LED,2948,UUA,6160
24,MRV,2962,ASF,2966
25,NBC,6969,DME,4029
26,NBC,6969,GYD,2922
27,NBC,6969,LED,2948
28,NBC,6969,SVX,2975
29,NJC,2972,SVX,2975
30,NJC,2972,UUA,6160
31,NUX,4364,SVX,2975
32,OVB,4078,CEK,2968
33,OVB,4078,SVX,2975
34,SVX,2975,KZN,2990
35,SVX,2975,NBC,6969
36,SVX,2975,NJC,2972
37,SVX,2975,NUX,4364
38,SVX,2975,OVB,4078
39,TGK,\N,DME,4029
40,UUA,6160,DME,4029
41,UUA,6160,LED,2948
42,UUA,6160,NJC,2972
43,BTK,2936,IKT,2937
44,BTK,2936,OVB,4078
45,CEK,2968,OVB,4078
46,HTA,2935,IKT,2937
47,IKT,2937,BTK,2936
48,IKT,2937,HTA,2935
49,IKT,2937,KCK,\N
50,IKT,2937,ODO,8944
51,IKT,2937,OVB,4078
52,IKT,2937,UKX,6924
53,IKT,2937,ULK,9026
54,IKT,2937,YKS,2923
55,KCK,\N,IKT,2937
56,MJZ,2925,OVB,4078
57,ODO,8944,IKT,2937
58,OVB,4078,BTK,2936
59,OVB,4078,CEK,2968
60,OVB,4078,IKT,2937
61,UKX,6924,IKT,2937
62,ULK,9026,IKT,2937
63,YKS,2923,IKT,2937
64,AYP,2786,LIM,2789
65,CUZ,2812,LIM,2789
66,CUZ,2812,PEM,2808
67,HUU,6067,LIM,2789
68,IQT,2801,PCL,2781
69,IQT,2801,TPP,2806
70,LIM,2789,AYP,2786
71,LIM,2789,CUZ,2812
72,LIM,2789,HUU,6067
73,LIM,2789,PCL,2781
74,LIM,2789,TPP,2806
75,PCL,2781,IQT,2801
76,PCL,2781,LIM,2789
77,PCL,2781,TPP,2806
78,PEM,2808,CUZ,2812
79,TPP,2806,IQT,2801
80,TPP,2806,LIM,2789
81,TPP,2806,PCL,2781
82,ABJ,253,BOY,247
83,ABJ,253,OUA,246
84,ACC,248,OUA,246
85,BKO,1044,ABJ,253
86,BKO,1044,DKR,1084
87,BKO,1044,OUA,246
88,BOY,247,ABJ,253
89,BOY,247,OUA,246
90,COO,245,LFW,298
91,COO,245,OUA,246
92,DKR,1084,BKO,1044
93,DKR,1084,OUA,246
94,LFW,298,OUA,246
95,NIM,280,OUA,246
96,OUA,246,ABJ,253
97,OUA,246,ACC,248
98,OUA,246,BKO,1044
99,OUA,246,BOY,247
100,OUA,246,COO,245
101,OUA,246,DKR,1084
102,OUA,246,LFW,298
103,OUA,246,NIM,280
104,BOG,2709,GYE,2673
105,BOG,2709,UIO,2688
106,CLO,2715,GYE,2673
107,GYE,2673,BOG,2709
108,GYE,2673,CLO,2715
109,GYE,2673,SCY,6045
110,GYE,2673,UIO,2688
111,OCC,2670,UIO,2688
112,SCY,6045,GYE,2673
113,UIO,2688,BOG,2709
114,UIO,2688,GYE,2673
115,UIO,2688,OCC,2670
116,BDS,1506,ZRH,1678
117,BOD,1264,ZRH,1678
118,BRS,490,ZRH,1678
119,GVA,1665,LPA,1054
120,LCA,1197,ZRH,1678
121,LPA,1054,ZRH,1678
122,RMF,4197,ZRH,1678
123,TFS,1056,GVA,1665
124,ZRH,1678,BDS,1506
125,ZRH,1678,BOD,1264
126,ZRH,1678,BRS,490
127,ZRH,1678,LCA,1197
128,ZRH,1678,LPA,1054
129,ZRH,1678,RMF,4197
130,AJR,730,LYC,719
131,ARN,737,GEV,715
132,ARN,737,HAD,709
133,ARN,737,JKG,688
134,ARN,737,KRF,718
135,ARN,737,KSD,5595
