Name,City,Country,FAA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Color
Herat,Herat,Afghanistan,HEA,OAHR,34.210017,62.2283,3206,4.5,U,1
Jalalabad,Jalalabad,Afghanistan,JAA,OAJL,34.399842,70.498625,1814,4.5,U,1
Kabul Intl,Kabul,Afghanistan,KBL,OAKB,34.565853,69.212328,5877,4.5,U,1
Kandahar,Kandahar,Afghanistan,KDH,OAKN,31.505756,65.847822,3337,4.5,U,1
Maimana,Maimama,Afghanistan,MMZ,OAMN,35.930789,64.760917,2743,4.5,U,1
Mazar I Sharif,Mazar-i-sharif,Afghanistan,MZR,OAMS,36.706914,67.209678,1284,4.5,U,1
Konduz,Kunduz,Afghanistan,UND,OAUZ,36.665111,68.910833,1457,4.5,U,1
Faizabad Airport,Faizabad,Afghanistan,FBD,OAFZ,37.1211,70.5181,3872,4.5,U,1
Bagram AFB,Kabul,Afghanistan,BPM,OAIX,34.5646,69.1554,4895,4.5,U,1
Tarin Kowt Airport,Tarin Kowt,Afghanistan,TII,OATN,32.605278,65.864167,3500,4.5,U,1
Zaranj Airport,Zaranj,Afghanistan,ZAJ,OAZJ,30.969167,61.866944,1581,4.5,U,1
Chaghcharan Airport,Chaghcharan,Afghanistan,CCN,OACC,34.526667,65.271667,7383,4.5,U,1
FOB Salerno,Khost,Afghanistan,KHT,OAKS,33.3334,69.952,3756,4.5,N,1
Sharona,Sharona,Afghanistan,AZ3,OASA,33.1277215,68.8369847,7400,4.5,N,1
Bost Airport,Lashkar Gah,Afghanistan,BST,OABT,31.558889,64.364167,2464,4.5,U,1
Bamyan Airport,Bamyan,Afghanistan,BIN,OABN,34.816667,67.816667,2550,4.5,N,1
Tirana Rinas,Tirana,Albania,TIA,LATI,41.414742,19.720561,126,1,E,2
Soummam,Bejaja,Algeria,BJA,DAAE,36.711997,5.069922,20,1,N,2
Houari Boumediene,Algier,Algeria,ALG,DAAG,36.691014,3.215408,82,1,N,2
Tiska,Djanet,Algeria,DJG,DAAJ,24.292767,9.452444,3176,1,N,2
Boufarik,Boufarik,Algeria,QFD,DAAK,36.545834,2.876111,335,1,N,2
Illizi Takhamalt,Illizi,Algeria,VVZ,DAAP,26.723536,8.622653,1778,1,N,2
Tamanrasset,Tamanrasset,Algeria,TMR,DAAT,22.811461,5.451075,4518,1,N,2
Jijel,Jijel,Algeria,GJL,DAAV,36.795136,5.873608,36,1,N,2
Annaba,Annaba,Algeria,AAE,DABB,36.822225,7.809167,16,1,N,2
Mohamed Boudiaf Intl,Constantine,Algeria,CZL,DABC,36.276028,6.620386,2265,1,N,2
Cheikh Larbi Tebessi,Tebessa,Algeria,TEE,DABS,35.431611,8.120717,2661,1,N,2
Hassi R Mel,Tilrempt,Algeria,HRM,DAFH,32.930431,3.311542,2540,1,N,2
Bou Chekif,Tiaret,Algeria,TID,DAOB,35.341136,1.463147,3245,1,N,2
Tindouf,Tindouf,Algeria,TIN,DAOF,27.700372,-8.167103,1453,1,N,2
Ech Cheliff,Ech-cheliff,Algeria,QAS,DAOI,36.212658,1.331775,463,1,N,2
Tafaraoui,Oran,Algeria,TAF,DAOL,35.542444,-0.532278,367,1,N,2
Zenata,Tlemcen,Algeria,TLM,DAON,35.016667,-1.45,814,1,N,2
Es Senia,Oran,Algeria,ORN,DAOO,35.623858,-0.621183,295,1,N,2
Ghriss,Ghriss,Algeria,MUW,DAOV,35.207725,0.147142,1686,1,N,2
Touat Cheikh Sidi Mohamed Belkebir,Adrar,Algeria,AZR,DAUA,27.837589,-0.186414,919,1,N,2
Biskra,Biskra,Algeria,BSK,DAUB,34.793289,5.738231,289,1,N,2
El Golea,El Golea,Algeria,ELG,DAUE,30.571294,2.859586,1306,1,N,2
Noumerat,Ghardaia,Algeria,GHA,DAUG,32.384106,3.794114,1512,1,N,2
Oued Irara,Hassi Messaoud,Algeria,HME,DAUH,31.672972,6.140444,463,1,N,2
In Salah,In Salah,Algeria,INZ,DAUI,27.251022,2.512017,896,1,N,2
Sidi Mahdi,Touggourt,Algeria,TGR,DAUK,33.067803,6.088672,279,1,N,2
Laghouat,Laghouat,Algeria,LOO,DAUL,33.764383,2.928344,2510,1,N,2
Timimoun,Timimoun,Algeria,TMX,DAUT,29.237119,0.276033,1027,1,N,2
Ouargla,Ouargla,Algeria,OGX,DAUU,31.917223,5.412778,492,1,N,2
In Amenas,Zarzaitine,Algeria,IAM,DAUZ,28.05155,9.642911,1847,1,N,2
